epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9853712916374207,0.9607758522033691,0.22538185119628906,0.0003553217393346131,0.08133861422538757,0.0010000000474974513,0.10137724876403809,0.5747997164726257,0.9814853668212891,0.9710466861724854,0.9957684874534607,0.9874109625816345,0.9621854424476624,0.3223061263561249,4.548114520730451e-05,0.08478739112615585,0.052524033933877945,0.4710328280925751,0.9875620007514954,0.9835937023162842,0.9959128499031067
1,0.9856360554695129,0.9754464030265808,0.2941161096096039,0.002043454209342599,0.10057386755943298,0.0010000000474974513,0.05469866842031479,0.718070387840271,0.9844226241111755,0.9834608435630798,0.9948398470878601,0.9855868220329285,0.970343828201294,0.37085476517677307,1.1305392035865225e-05,0.11180085688829422,0.04366384819149971,0.8081389665603638,0.9860329031944275,0.9826632142066956,0.9954243898391724
2,0.9835489392280579,0.9755164980888367,0.2928757071495056,0.0004598522500600666,0.11132112145423889,0.0010000000474974513,0.12844644486904144,0.6986215710639954,0.9818685054779053,0.9828330278396606,0.9939854145050049,0.9573227763175964,0.9448161721229553,0.34855496883392334,1.3855280940333614e-06,0.13292106986045837,0.08731496334075928,0.778481662273407,0.9612143039703369,0.9521491527557373,0.9874305129051208
3,0.9829564690589905,0.9736040234565735,0.29236680269241333,0.06808552145957947,0.07469739764928818,0.0010000000474974513,0.27819666266441345,0.6412923336029053,0.9806743860244751,0.9823319315910339,0.9935761094093323,0.9769077301025391,0.9717127084732056,0.33573976159095764,0.019266514107584953,3.715170169016346e-05,0.07485373318195343,0.5212991833686829,0.9728230834007263,0.977495014667511,0.9909558892250061
4,0.9815670847892761,0.9742302894592285,0.22130829095840454,0.15772680938243866,0.10080586373806,0.0010000000474974513,0.7461766600608826,0.4773240089416504,0.9794322848320007,0.9807659983634949,0.9931715130805969,0.9904449582099915,0.981970489025116,0.3183997571468353,8.818197238724679e-05,0.003711197292432189,0.046464450657367706,0.3757975101470947,0.9858675003051758,0.9905256628990173,0.9952995777130127
5,0.9728969931602478,0.9652336239814758,0.16501249372959137,0.06982174515724182,0.042039088904857635,0.0010000000474974513,61.16024398803711,0.4991703927516937,0.969829261302948,0.9729164838790894,0.9899598956108093,0.9883850812911987,0.9839674830436707,7.364416524069384e-05,1.1835306850116467e-06,0.11614535748958588,0.12040587514638901,0.37901487946510315,0.9837316274642944,0.9884399771690369,0.9945884346961975
6,0.9781357645988464,0.9706008434295654,0.20561859011650085,0.10438963025808334,0.03261147066950798,0.0010000000474974513,64.34565734863281,0.4642632007598877,0.9749922752380371,0.9779578447341919,0.9916780591011047,0.9899266958236694,0.9713003635406494,0.32618656754493713,0.0007262892322614789,0.0007654147921130061,0.05344453454017639,0.7617531418800354,0.9852871298789978,0.9899846911430359,0.9951061606407166
7,0.9886621832847595,0.9787464737892151,0.2906703054904938,0.0015299856895580888,0.0034670487511903048,0.0010000000474974513,0.04759075492620468,0.3956516683101654,0.9851707220077515,0.9886131882667542,0.9950646758079529,0.9898216128349304,0.9719663858413696,0.3280082941055298,0.0004941247752867639,0.008802533149719238,0.044852014631032944,0.3759070038795471,0.9852043986320496,0.9897674918174744,0.9950793385505676
8,0.9891421794891357,0.9806137084960938,0.27711397409439087,0.03827892616391182,0.10291969031095505,0.0010000000474974513,0.03924267739057541,0.3927561044692993,0.9866904616355896,0.988692045211792,0.9955780506134033,0.9882506728172302,0.9736864566802979,0.2864452302455902,0.559437096118927,0.15817706286907196,0.04054974019527435,0.37582919001579285,0.9857848882675171,0.9871442317962646,0.9952881336212158
9,0.9813240170478821,0.9745467305183411,0.2453979253768921,0.7411991357803345,0.035094309598207474,0.0010000000474974513,0.4455336034297943,0.4487726390361786,0.9783649444580078,0.9812954664230347,0.9928120970726013,0.9886349439620972,0.9862082600593567,0.0005006160936318338,0.9997953772544861,1.717345488039257e-09,0.2503148913383484,0.8964382410049438,0.9838616847991943,0.9885702133178711,0.9946317672729492
10,0.9809421896934509,0.975066602230072,0.0795130580663681,0.6231786012649536,0.08165401220321655,0.0010000000474974513,2221.44921875,0.6644757390022278,0.9776657819747925,0.9809401631355286,0.9925668239593506,0.9852340221405029,0.9686941504478455,0.01689102128148079,3.007236955454573e-05,0.2149062603712082,0.09064818173646927,0.37560516595840454,0.9813030958175659,0.9857348799705505,0.9937832355499268
11,0.988193929195404,0.9788460731506348,0.036253564059734344,0.001838640426285565,0.17677931487560272,0.0010000000474974513,0.06163497269153595,0.3869493007659912,0.9848828911781311,0.9882652163505554,0.9949695467948914,0.9880892634391785,0.9734694361686707,0.04474775865674019,0.004176363814622164,0.17603670060634613,0.06894944608211517,0.3756386637687683,0.9838060140609741,0.9882840514183044,0.9946147203445435
12,0.9881394505500793,0.9785011410713196,0.09013466536998749,0.04624294862151146,0.13652530312538147,0.0010000000474974513,0.05353249981999397,0.3866261839866638,0.9850330948829651,0.9880520701408386,0.9950210452079773,0.9873838424682617,0.9702367186546326,0.23590417206287384,0.0036572725512087345,0.11627798527479172,0.050673168152570724,0.3909049332141876,0.9848724603652954,0.9874995350837708,0.9949796795845032
13,0.9754933714866638,0.9712203145027161,0.022162949666380882,0.36000117659568787,0.07628132402896881,0.0010000000474974513,1.2603800296783447,0.49145686626434326,0.9722970724105835,0.9756048321723938,0.9907823204994202,0.9886149764060974,0.979850172996521,0.07144291698932648,0.0011909883469343185,0.10928168892860413,0.049703069031238556,0.3772945702075958,0.9839195013046265,0.9886043667793274,0.994651198387146
14,0.9830377101898193,0.9771568775177002,0.12276087701320648,0.06629084795713425,0.08254026621580124,0.0010000000474974513,2034.5821533203125,0.4170309007167816,0.9803663492202759,0.9828894734382629,0.9934727549552917,0.988633930683136,0.9861884713172913,1.0442725850712264e-10,0.9999521374702454,1.4321924481919268e-06,1.3039577007293701,0.9417646527290344,0.9838607907295227,0.9885693192481995,0.9946315288543701
